ZIP,USPS Default State for ZIP,County,County State,State Abbreviation
35120,AL,St. Clair County,Alabama,AL
35121,AL,Blount County,Alabama,AL
35121,AL,St. Clair County,Alabama,AL
35121,AL,Etowah County,Alabama,AL
35123,AL,Jefferson County,Alabama,AL
35124,AL,Shelby County,Alabama,AL
35125,AL,St. Clair County,Alabama,AL
35126,AL,Jefferson County,Alabama,AL
35126,AL,Blount County,Alabama,AL
35127,AL,Jefferson County,Alabama,AL
35128,AL,St. Clair County,Alabama,AL
35128,AL,Shelby County,Alabama,AL
35130,AL,Walker County,Alabama,AL
35130,AL,Jefferson County,Alabama,AL
35131,AL,St. Clair County,Alabama,AL
35133,AL,Blount County,Alabama,AL
35133,AL,St. Clair County,Alabama,AL
35133,AL,Jefferson County,Alabama,AL
35135,AL,St. Clair County,Alabama,AL
35136,AL,Coosa County,Alabama,AL
35136,AL,Elmore County,Alabama,AL
35137,AL,Shelby County,Alabama,AL
35139,AL,Jefferson County,Alabama,AL
35142,AL,Jefferson County,Alabama,AL
35143,AL,Shelby County,Alabama,AL
35146,AL,St. Clair County,Alabama,AL
35146,AL,Blount County,Alabama,AL
35146,AL,Jefferson County,Alabama,AL
35147,AL,Shelby County,Alabama,AL
35148,AL,Walker County,Alabama,AL
35148,AL,Jefferson County,Alabama,AL
35149,AL,Talladega County,Alabama,AL
35150,AL,Talladega County,Alabama,AL
35150,AL,Coosa County,Alabama,AL
35151,AL,Talladega County,Alabama,AL
35151,AL,Coosa County,Alabama,AL
35160,AL,Talladega County,Alabama,AL
35160,AL,Clay County,Alabama,AL
35171,AL,Chilton County,Alabama,AL
35172,AL,Blount County,Alabama,AL
35172,AL,Jefferson County,Alabama,AL
35173,AL,Jefferson County,Alabama,AL
35173,AL,St. Clair County,Alabama,AL
35175,AL,Marshall County,Alabama,AL
35175,AL,Morgan County,Alabama,AL
35176,AL,Shelby County,Alabama,AL
35178,AL,Shelby County,Alabama,AL
35178,AL,St. Clair County,Alabama,AL
35179,AL,Cullman County,Alabama,AL
35179,AL,Morgan County,Alabama,AL
35179,AL,Winston County,Alabama,AL
35180,AL,Jefferson County,Alabama,AL
35180,AL,Blount County,Alabama,AL
35181,AL,Jefferson County,Alabama,AL
35182,AL,St. Clair County,Alabama,AL
35183,AL,Coosa County,Alabama,AL
35184,AL,Bibb County,Alabama,AL
35184,AL,Tuscaloosa County,Alabama,AL
35185,AL,Shelby County,Alabama,AL
35186,AL,Shelby County,Alabama,AL
35187,AL,Shelby County,Alabama,AL
35188,AL,Bibb County,Alabama,AL
35188,AL,Tuscaloosa County,Alabama,AL
35201,AL,Jefferson County,Alabama,AL
35202,AL,Jefferson County,Alabama,AL
35203,AL,Jefferson County,Alabama,AL
35204,AL,Jefferson County,Alabama,AL
35205,AL,Jefferson County,Alabama,AL
35206,AL,Jefferson County,Alabama,AL
35207,AL,Jefferson County,Alabama,AL
35208,AL,Jefferson County,Alabama,AL
35209,AL,Jefferson County,Alabama,AL
35210,AL,Jefferson County,Alabama,AL
35211,AL,Jefferson County,Alabama,AL
35212,AL,Jefferson County,Alabama,AL
35213,AL,Jefferson County,Alabama,AL
35214,AL,Jefferson County,Alabama,AL
35215,AL,Jefferson County,Alabama,AL
35216,AL,Jefferson County,Alabama,AL
35216,AL,Shelby County,Alabama,AL
35217,AL,Jefferson County,Alabama,AL
35218,AL,Jefferson County,Alabama,AL
35219,AL,Jefferson County,Alabama,AL
35220,AL,Jefferson County,Alabama,AL
35221,AL,Jefferson County,Alabama,AL
35222,AL,Jefferson County,Alabama,AL
35223,AL,Jefferson County,Alabama,AL
35224,AL,Jefferson County,Alabama,AL
35226,AL,Jefferson County,Alabama,AL
35228,AL,Jefferson County,Alabama,AL
35229,AL,Jefferson County,Alabama,AL
35231,AL,Jefferson County,Alabama,AL
35232,AL,Jefferson County,Alabama,AL
35233,AL,Jefferson County,Alabama,AL
35234,AL,Jefferson County,Alabama,AL
35235,AL,Jefferson County,Alabama,AL
35236,AL,Jefferson County,Alabama,AL
35238,AL,Shelby County,Alabama,AL
35242,AL,Shelby County,Alabama,AL
35242,AL,Jefferson County,Alabama,AL
35243,AL,Jefferson County,Alabama,AL
35243,AL,Shelby County,Alabama,AL
35244,AL,Jefferson County,Alabama,AL
35244,AL,Shelby County,Alabama,AL
35249,AL,Jefferson County,Alabama,AL
35253,AL,Jefferson County,Alabama,AL
35254,AL,Jefferson County,Alabama,AL
35255,AL,Jefferson County,Alabama,AL
35259,AL,Jefferson County,Alabama,AL
35260,AL,Jefferson County,Alabama,AL
35261,AL,Jefferson County,Alabama,AL
35266,AL,Jefferson County,Alabama,AL
35270,AL,Jefferson County,Alabama,AL
35285,AL,Jefferson County,Alabama,AL
35293,AL,Jefferson County,Alabama,AL
35294,AL,Jefferson County,Alabama,AL
35295,AL,Jefferson County,Alabama,AL
35401,AL,Tuscaloosa County,Alabama,AL
35402,AL,Tuscaloosa County,Alabama,AL
35403,AL,Tuscaloosa County,Alabama,AL
35404,AL,Tuscaloosa County,Alabama,AL
35405,AL,Tuscaloosa County,Alabama,AL
35406,AL,Tuscaloosa County,Alabama,AL
35407,AL,Tuscaloosa County,Alabama,AL
35440,AL,Tuscaloosa County,Alabama,AL
35441,AL,Hale County,Alabama,AL
35442,AL,Pickens County,Alabama,AL
35442,AL,Sumter County,Alabama,AL
35443,AL,Greene County,Alabama,AL
35444,AL,Tuscaloosa County,Alabama,AL
35444,AL,Jefferson County,Alabama,AL
35446,AL,Tuscaloosa County,Alabama,AL
35447,AL,Pickens County,Alabama,AL
35448,AL,Greene County,Alabama,AL
35449,AL,Tuscaloosa County,Alabama,AL
35452,AL,Tuscaloosa County,Alabama,AL
35453,AL,Tuscaloosa County,Alabama,AL
35456,AL,Tuscaloosa County,Alabama,AL
35456,AL,Bibb County,Alabama,AL
35457,AL,Tuscaloosa County,Alabama,AL
35458,AL,Tuscaloosa County,Alabama,AL
35459,AL,Sumter County,Alabama,AL
35460,AL,Sumter County,Alabama,AL
35461,AL,Pickens County,Alabama,AL
35462,AL,Greene County,Alabama,AL
35463,AL,Tuscaloosa County,Alabama,AL
35463,AL,Greene County,Alabama,AL
35464,AL,Sumter County,Alabama,AL
35464,AL,Greene County,Alabama,AL
35466,AL,Pickens County,Alabama,AL
35466,AL,Tuscaloosa County,Alabama,AL
35469,AL,Greene County,Alabama,AL
35469,AL,Tuscaloosa County,Alabama,AL
35470,AL,Sumter County,Alabama,AL
35471,AL,Pickens County,Alabama,AL
35473,AL,Tuscaloosa County,Alabama,AL
35474,AL,Hale County,Alabama,AL
35474,AL,Tuscaloosa County,Alabama,AL
35475,AL,Tuscaloosa County,Alabama,AL
35476,AL,Tuscaloosa County,Alabama,AL
35477,AL,Sumter County,Alabama,AL
35478,AL,Tuscaloosa County,Alabama,AL
35480,AL,Tuscaloosa County,Alabama,AL
35480,AL,Greene County,Alabama,AL
35481,AL,Pickens County,Alabama,AL
35482,AL,Tuscaloosa County,Alabama,AL
35486,AL,Tuscaloosa County,Alabama,AL
35487,AL,Tuscaloosa County,Alabama,AL
35490,AL,Tuscaloosa County,Alabama,AL
35491,AL,Greene County,Alabama,AL
35501,AL,Walker County,Alabama,AL
35502,AL,Walker County,Alabama,AL
35503,AL,Walker County,Alabama,AL
35503,AL,Winston County,Alabama,AL
35504,AL,Walker County,Alabama,AL
35540,AL,Winston County,Alabama,AL
35540,AL,Cullman County,Alabama,AL
35540,AL,Lawrence County,Alabama,AL
35541,AL,Winston County,Alabama,AL
35541,AL,Cullman County,Alabama,AL
35541,AL,Walker County,Alabama,AL
35542,AL,Fayette County,Alabama,AL
35543,AL,Marion County,Alabama,AL
35544,AL,Lamar County,Alabama,AL
35545,AL,Fayette County,Alabama,AL
35546,AL,Fayette County,Alabama,AL
35546,AL,Tuscaloosa County,Alabama,AL
35546,AL,Walker County,Alabama,AL
35548,AL,Marion County,Alabama,AL
35549,AL,Walker County,Alabama,AL
35549,AL,Fayette County,Alabama,AL
35550,AL,Walker County,Alabama,AL
35551,AL,Winston County,Alabama,AL
35552,AL,Marion County,Alabama,AL
35552,AL,Lamar County,Alabama,AL
35553,AL,Winston County,Alabama,AL
35554,AL,Fayette County,Alabama,AL
35554,AL,Walker County,Alabama,AL
35554,AL,Marion County,Alabama,AL
35555,AL,Fayette County,Alabama,AL
35555,AL,Tuscaloosa County,Alabama,AL
35555,AL,Lamar County,Alabama,AL
35555,AL,Pickens County,Alabama,AL
35559,AL,Fayette County,Alabama,AL
35560,AL,Walker County,Alabama,AL
35563,AL,Marion County,Alabama,AL
35563,AL,Fayette County,Alabama,AL
35563,AL,Lamar County,Alabama,AL
35564,AL,Marion County,Alabama,AL
35564,AL,Franklin County,Alabama,AL
35565,AL,Winston County,Alabama,AL
35565,AL,Marion County,Alabama,AL
35565,AL,Franklin County,Alabama,AL
35570,AL,Marion County,Alabama,AL
35570,AL,Lamar County,Alabama,AL
35571,AL,Franklin County,Alabama,AL
35571,AL,Marion County,Alabama,AL
35572,AL,Winston County,Alabama,AL
35573,AL,Walker County,Alabama,AL
35574,AL,Lamar County,Alabama,AL
35574,AL,Pickens County,Alabama,AL
35574,AL,Fayette County,Alabama,AL
35574,AL,Tuscaloosa County,Alabama,AL
35575,AL,Winston County,Alabama,AL
35576,AL,Lamar County,Alabama,AL
35576,AL,Pickens County,Alabama,AL
35577,AL,Winston County,Alabama,AL
35578,AL,Walker County,Alabama,AL
35578,AL,Winston County,Alabama,AL
35579,AL,Walker County,Alabama,AL
35579,AL,Tuscaloosa County,Alabama,AL
35579,AL,Fayette County,Alabama,AL
35580,AL,Walker County,Alabama,AL
35581,AL,Franklin County,Alabama,AL
35581,AL,Marion County,Alabama,AL
35582,AL,Franklin County,Alabama,AL
35582,AL,Colbert County,Alabama,AL
35584,AL,Walker County,Alabama,AL
35585,AL,Franklin County,Alabama,AL
35586,AL,Lamar County,Alabama,AL
35587,AL,Walker County,Alabama,AL
35592,AL,Lamar County,Alabama,AL
35593,AL,Franklin County,Alabama,AL
35593,AL,Marion County,Alabama,AL
35594,AL,Marion County,Alabama,AL
35594,AL,Fayette County,Alabama,AL
35601,AL,Morgan County,Alabama,AL
35602,AL,Morgan County,Alabama,AL
35603,AL,Morgan County,Alabama,AL
35603,AL,Lawrence County,Alabama,AL
35610,AL,Lauderdale County,Alabama,AL
35610,AL,Limestone County,Alabama,AL
35611,AL,Limestone County,Alabama,AL
35612,AL,Limestone County,Alabama,AL
35613,AL,Limestone County,Alabama,AL
35614,AL,Limestone County,Alabama,AL
35614,AL,Lauderdale County,Alabama,AL
35615,AL,Limestone County,Alabama,AL
35616,AL,Colbert County,Alabama,AL
35616,AL,Franklin County,Alabama,AL
35617,AL,Lauderdale County,Alabama,AL
35618,AL,Lawrence County,Alabama,AL
35619,AL,Morgan County,Alabama,AL
35619,AL,Lawrence County,Alabama,AL
35619,AL,Cullman County,Alabama,AL
35620,AL,Limestone County,Alabama,AL
35621,AL,Morgan County,Alabama,AL
35621,AL,Cullman County,Alabama,AL
35622,AL,Morgan County,Alabama,AL
35622,AL,Cullman County,Alabama,AL
35630,AL,Lauderdale County,Alabama,AL
35631,AL,Lauderdale County,Alabama,AL
35632,AL,Lauderdale County,Alabama,AL
35633,AL,Lauderdale County,Alabama,AL
35634,AL,Lauderdale County,Alabama,AL
35640,AL,Morgan County,Alabama,AL
35643,AL,Lawrence County,Alabama,AL
35645,AL,Lauderdale County,Alabama,AL
35646,AL,Colbert County,Alabama,AL
35647,AL,Limestone County,Alabama,AL
35648,AL,Lauderdale County,Alabama,AL
35649,AL,Limestone County,Alabama,AL
35650,AL,Lawrence County,Alabama,AL
35651,AL,Lawrence County,Alabama,AL
35651,AL,Franklin County,Alabama,AL
35652,AL,Lauderdale County,Alabama,AL
35652,AL,Limestone County,Alabama,AL
35653,AL,Franklin County,Alabama,AL
35653,AL,Colbert County,Alabama,AL
35654,AL,Franklin County,Alabama,AL
35654,AL,Colbert County,Alabama,AL
35654,AL,Lawrence County,Alabama,AL
35660,AL,Colbert County,Alabama,AL
35661,AL,Colbert County,Alabama,AL
35662,AL,Colbert County,Alabama,AL
35670,AL,Morgan County,Alabama,AL
35670,AL,Cullman County,Alabama,AL
35671,AL,Limestone County,Alabama,AL
35672,AL,Lawrence County,Alabama,AL
35672,AL,Colbert County,Alabama,AL
35673,AL,Lawrence County,Alabama,AL
35673,AL,Morgan County,Alabama,AL
35674,AL,Colbert County,Alabama,AL
35674,AL,Franklin County,Alabama,AL
35677,AL,Lauderdale County,Alabama,AL
35739,AL,Limestone County,Alabama,AL
35739,AL,Madison County,Alabama,AL
35740,AL,Jackson County,Alabama,AL
35741,AL,Madison County,Alabama,AL
35742,AL,Limestone County,Alabama,AL
35744,AL,Jackson County,Alabama,AL
35744,AL,DeKalb County,Alabama,AL
35745,AL,Jackson County,Alabama,AL
35746,AL,Jackson County,Alabama,AL
35747,AL,Marshall County,Alabama,AL
35748,AL,Madison County,Alabama,AL
35748,AL,Jackson County,Alabama,AL
35749,AL,Madison County,Alabama,AL
35749,AL,Limestone County,Alabama,AL
35750,AL,Madison County,Alabama,AL
35751,AL,Jackson County,Alabama,AL
35752,AL,Jackson County,Alabama,AL
35754,AL,Morgan County,Alabama,AL
35754,AL,Marshall County,Alabama,AL
35755,AL,Marshall County,Alabama,AL
35755,AL,Jackson County,Alabama,AL
35756,AL,Limestone County,Alabama,AL
35756,AL,Madison County,Alabama,AL
35757,AL,Madison County,Alabama,AL
35757,AL,Limestone County,Alabama,AL
35758,AL,Madison County,Alabama,AL
35759,AL,Madison County,Alabama,AL
35760,AL,Madison County,Alabama,AL
35760,AL,Marshall County,Alabama,AL
35761,AL,Madison County,Alabama,AL
35762,AL,Madison County,Alabama,AL
35763,AL,Madison County,Alabama,AL
35764,AL,Jackson County,Alabama,AL
35765,AL,Jackson County,Alabama,AL
35765,AL,DeKalb County,Alabama,AL
35766,AL,Jackson County,Alabama,AL
35767,AL,Madison County,Alabama,AL
35768,AL,Jackson County,Alabama,AL
35769,AL,Jackson County,Alabama,AL
35769,AL,Marshall County,Alabama,AL
35771,AL,Jackson County,Alabama,AL
35771,AL,DeKalb County,Alabama,AL
35772,AL,Jackson County,Alabama,AL
35773,AL,Madison County,Alabama,AL
35773,AL,Limestone County,Alabama,AL
35774,AL,Jackson County,Alabama,AL
35775,AL,Morgan County,Alabama,AL
35776,AL,Jackson County,Alabama,AL
35776,AL,Marshall County,Alabama,AL
35776,AL,Madison County,Alabama,AL
35801,AL,Madison County,Alabama,AL
35802,AL,Madison County,Alabama,AL
35803,AL,Madison County,Alabama,AL
35804,AL,Madison County,Alabama,AL
35805,AL,Madison County,Alabama,AL
35806,AL,Madison County,Alabama,AL
35807,AL,Madison County,Alabama,AL
35808,AL,Madison County,Alabama,AL
35809,AL,Madison County,Alabama,AL
35810,AL,Madison County,Alabama,AL
35811,AL,Madison County,Alabama,AL
35812,AL,Madison County,Alabama,AL
35813,AL,Madison County,Alabama,AL
35814,AL,Madison County,Alabama,AL
35815,AL,Madison County,Alabama,AL
35816,AL,Madison County,Alabama,AL
35824,AL,Madison County,Alabama,AL
35893,AL,Madison County,Alabama,AL
35894,AL,Madison County,Alabama,AL
35895,AL,Madison County,Alabama,AL
35896,AL,Madison County,Alabama,AL
35897,AL,Madison County,Alabama,AL
35898,AL,Madison County,Alabama,AL
35899,AL,Madison County,Alabama,AL
35901,AL,Etowah County,Alabama,AL
35901,AL,Cherokee County,Alabama,AL
35902,AL,Etowah County,Alabama,AL
35903,AL,Etowah County,Alabama,AL
35903,AL,Cherokee County,Alabama,AL
35904,AL,Etowah County,Alabama,AL
35905,AL,Etowah County,Alabama,AL
35905,AL,Calhoun County,Alabama,AL
35906,AL,Etowah County,Alabama,AL
35906,AL,St. Clair County,Alabama,AL
35907,AL,Etowah County,Alabama,AL
35950,AL,Marshall County,Alabama,AL
35951,AL,Marshall County,Alabama,AL
35951,AL,DeKalb County,Alabama,AL
35952,AL,Etowah County,Alabama,AL
35952,AL,Blount County,Alabama,AL
35952,AL,Marshall County,Alabama,AL
35953,AL,St. Clair County,Alabama,AL
35954,AL,Etowah County,Alabama,AL
35954,AL,DeKalb County,Alabama,AL
35956,AL,Etowah County,Alabama,AL
35956,AL,Marshall County,Alabama,AL
35956,AL,DeKalb County,Alabama,AL
35957,AL,Marshall County,Alabama,AL
35957,AL,DeKalb County,Alabama,AL
35957,AL,Blount County,Alabama,AL
35957,AL,Etowah County,Alabama,AL
35958,AL,Jackson County,Alabama,AL
35959,AL,Cherokee County,Alabama,AL
35959,AL,DeKalb County,Alabama,AL
35960,AL,Cherokee County,Alabama,AL
35961,AL,DeKalb County,Alabama,AL
35961,AL,Cherokee County,Alabama,AL
35961,AL,Etowah County,Alabama,AL
35962,AL,DeKalb County,Alabama,AL
35962,AL,Marshall County,Alabama,AL
35963,AL,DeKalb County,Alabama,AL
35964,AL,Marshall County,Alabama,AL
35966,AL,Jackson County,Alabama,AL
35966,AL,DeKalb County,Alabama,AL
35967,AL,DeKalb County,Alabama,AL
35967,AL,Cherokee County,Alabama,AL
35968,AL,DeKalb County,Alabama,AL
35971,AL,DeKalb County,Alabama,AL
35971,AL,Jackson County,Alabama,AL
35972,AL,Etowah County,Alabama,AL
35972,AL,St. Clair County,Alabama,AL
35973,AL,Cherokee County,Alabama,AL
35974,AL,DeKalb County,Alabama,AL
35975,AL,DeKalb County,Alabama,AL
35975,AL,Marshall County,Alabama,AL
35976,AL,Marshall County,Alabama,AL
35976,AL,Blount County,Alabama,AL
35976,AL,Cullman County,Alabama,AL
35978,AL,DeKalb County,Alabama,AL
35978,AL,Jackson County,Alabama,AL
35979,AL,DeKalb County,Alabama,AL
35979,AL,Jackson County,Alabama,AL
35980,AL,Marshall County,Alabama,AL
35980,AL,Blount County,Alabama,AL
35981,AL,DeKalb County,Alabama,AL
35983,AL,Cherokee County,Alabama,AL
35983,AL,DeKalb County,Alabama,AL
35984,AL,DeKalb County,Alabama,AL
35984,AL,Cherokee County,Alabama,AL
35986,AL,DeKalb County,Alabama,AL
35987,AL,St. Clair County,Alabama,AL
35988,AL,DeKalb County,Alabama,AL
35989,AL,DeKalb County,Alabama,AL
35990,AL,Etowah County,Alabama,AL
36003,AL,Autauga County,Alabama,AL
36005,AL,Pike County,Alabama,AL
36005,AL,Bullock County,Alabama,AL
36006,AL,Autauga County,Alabama,AL
36006,AL,Chilton County,Alabama,AL
36008,AL,Autauga County,Alabama,AL
36009,AL,Crenshaw County,Alabama,AL
36009,AL,Coffee County,Alabama,AL
36010,AL,Pike County,Alabama,AL
36010,AL,Coffee County,Alabama,AL
36010,AL,Dale County,Alabama,AL
36013,AL,Montgomery County,Alabama,AL
36013,AL,Macon County,Alabama,AL
36015,AL,Butler County,Alabama,AL
36016,AL,Barbour County,Alabama,AL
36016,AL,Henry County,Alabama,AL
36017,AL,Barbour County,Alabama,AL
36020,AL,Elmore County,Alabama,AL
36022,AL,Elmore County,Alabama,AL
36022,AL,Autauga County,Alabama,AL
36024,AL,Elmore County,Alabama,AL
36025,AL,Elmore County,Alabama,AL
36026,AL,Coosa County,Alabama,AL
36026,AL,Elmore County,Alabama,AL
36027,AL,Barbour County,Alabama,AL
36027,AL,Russell County,Alabama,AL
36028,AL,Covington County,Alabama,AL
36028,AL,Crenshaw County,Alabama,AL
36029,AL,Bullock County,Alabama,AL
36029,AL,Macon County,Alabama,AL
36029,AL,Montgomery County,Alabama,AL
36030,AL,Butler County,Alabama,AL
36030,AL,Wilcox County,Alabama,AL
36031,AL,Bullock County,Alabama,AL
36032,AL,Lowndes County,Alabama,AL
36032,AL,Butler County,Alabama,AL
36032,AL,Crenshaw County,Alabama,AL
36033,AL,Butler County,Alabama,AL
36033,AL,Conecuh County,Alabama,AL
36033,AL,Monroe County,Alabama,AL
36034,AL,Pike County,Alabama,AL
36034,AL,Coffee County,Alabama,AL
36034,AL,Crenshaw County,Alabama,AL
36035,AL,Pike County,Alabama,AL
36035,AL,Crenshaw County,Alabama,AL
36036,AL,Montgomery County,Alabama,AL
36036,AL,Crenshaw County,Alabama,AL
36037,AL,Butler County,Alabama,AL
36037,AL,Crenshaw County,Alabama,AL
36038,AL,Covington County,Alabama,AL
36039,AL,Macon County,Alabama,AL
36040,AL,Lowndes County,Alabama,AL
36041,AL,Crenshaw County,Alabama,AL
36041,AL,Montgomery County,Alabama,AL
36041,AL,Lowndes County,Alabama,AL
36042,AL,Crenshaw County,Alabama,AL
36042,AL,Butler County,Alabama,AL
36043,AL,Montgomery County,Alabama,AL
36043,AL,Lowndes County,Alabama,AL
36046,AL,Crenshaw County,Alabama,AL
36046,AL,Montgomery County,Alabama,AL
36047,AL,Lowndes County,Alabama,AL
36047,AL,Montgomery County,Alabama,AL
36048,AL,Barbour County,Alabama,AL
36049,AL,Crenshaw County,Alabama,AL
36049,AL,Pike County,Alabama,AL
36051,AL,Autauga County,Alabama,AL
36051,AL,Chilton County,Alabama,AL
36051,AL,Elmore County,Alabama,AL
36052,AL,Montgomery County,Alabama,AL
36052,AL,Bullock County,Alabama,AL
36053,AL,Bullock County,Alabama,AL
36053,AL,Barbour County,Alabama,AL
36053,AL,Russell County,Alabama,AL
36054,AL,Elmore County,Alabama,AL
36054,AL,Montgomery County,Alabama,AL
36057,AL,Montgomery County,Alabama,AL
36064,AL,Montgomery County,Alabama,AL
36065,AL,Montgomery County,Alabama,AL
36066,AL,Autauga County,Alabama,AL
36066,AL,Elmore County,Alabama,AL
36067,AL,Autauga County,Alabama,AL
36067,AL,Elmore County,Alabama,AL
36068,AL,Autauga County,Alabama,AL
36069,AL,Montgomery County,Alabama,AL
36071,AL,Crenshaw County,Alabama,AL
36071,AL,Butler County,Alabama,AL
36072,AL,Barbour County,Alabama,AL
36075,AL,Macon County,Alabama,AL
36078,AL,Elmore County,Alabama,AL
36078,AL,Tallapoosa County,Alabama,AL
36078,AL,Macon County,Alabama,AL
36079,AL,Pike County,Alabama,AL
36079,AL,Coffee County,Alabama,AL
36080,AL,Elmore County,Alabama,AL
36080,AL,Coosa County,Alabama,AL
36081,AL,Pike County,Alabama,AL
36081,AL,Bullock County,Alabama,AL
36082,AL,Pike County,Alabama,AL
36083,AL,Macon County,Alabama,AL
36087,AL,Macon County,Alabama,AL
36088,AL,Macon County,Alabama,AL
36089,AL,Bullock County,Alabama,AL
36089,AL,Macon County,Alabama,AL
36091,AL,Chilton County,Alabama,AL
36091,AL,Autauga County,Alabama,AL
36092,AL,Elmore County,Alabama,AL
36093,AL,Elmore County,Alabama,AL
36101,AL,Montgomery County,Alabama,AL
36102,AL,Montgomery County,Alabama,AL
36103,AL,Montgomery County,Alabama,AL
36104,AL,Montgomery County,Alabama,AL
36105,AL,Montgomery County,Alabama,AL
36106,AL,Montgomery County,Alabama,AL
36107,AL,Montgomery County,Alabama,AL
36108,AL,Montgomery County,Alabama,AL
36109,AL,Montgomery County,Alabama,AL
36110,AL,Montgomery County,Alabama,AL
36111,AL,Montgomery County,Alabama,AL
36112,AL,Montgomery County,Alabama,AL
36113,AL,Montgomery County,Alabama,AL
